116/122/A-180 Z light pillbox		49 57 30.7 N	14 05 23.85 E
B-6/61/A-220 Z light pillbox	B-6/61/A-220Z light pillbox, Beroun	49 57 25.96 N	14 05 35.6 E
B-7/5/A-200 Z light pillbox		49 56 28.3 N	14 07 53.68 E
B-7/6/A-200 Z light pillbox		49 56 19.34 N	14 07 56.34 E
Bahnhof Dresden-Neustadt	Dresden-Neustadt railway station and the four inner city bridges	51 03 56 N	13 44 27 E
Baiona	Baiona is a municipality in Galicia, Spain in the province of Pontevedra.	42 07 03.29 N	8 51 01.86 W
Baker Glacier	Chugach National Forest, Alaska	61 04 53 N	148 21 52 W
Baltar	Baltar is a municipality in Galicia, in the province of Ourense.	41 57 04.75 N	7 42 56.7 W
Barbadás		42 17 56.03 N	7 53 13.14 W
Basilique Notre-Dame de la Daurade		36 02.88 N	1 26 22.92 E
Basilique Notre-Dame de Thierenbach		47 52 54.12 N	7 11 21.16 E
Basilique Saint-Sauveur de Rennes		48 06 42 N	1 40 54 W
Beade	Beade is a municipality in Galicia, in the province of Ourense.	42 20 06.72 N	8 08 45.05 W
Bear Lake (Alaska)	Kenai Peninsula, Alaska	60 12 03 N	149 21 11 W
Bergfriedhof (Stuttgart)	The Bergfriedhof is a cemetery in the Stadtbezirk Stuttgart-Ost in Stuttgart.	48 47 19.16 N	9 12 23.35 E
Bergondo		43 19 15.36 N	8 13 54.04 W
Berlin Anhalter Bahnhof	The Anhalter Bahnhof was a large main-line railway station in Berlin. Today it is just a stop on the Berlin S-Bahn.	52 30 11 N	13 22 55 E
Betanzos		43 16 44.24 N	8 12 55.95 W
Bibliothèque Sainte-Geneviève		48 50 49.5 N	2 20 45 E
Bibracte	Bibracte est le nom de la cité gauloise, capitale des Eduens, qui était située au sommet du mont Beuvray (France)	46 55 23 N	4 02 15 E
Biella		45 34 05.07 N	8 03 02.61 E
Bienertparks in Dresden	Als Bienertpark werden verschiedene Parkanlagen in Dresden bezeichnet, deren Entstehung auf die Familie Gottlieb Traugott Bienert zurückgeht.	51 01 48.29 N	13 42 54.9 E
Billings Glacier	Chugach National Forest, Alaska	60 52 55 N	148 34 28 W
Bishkek		42 52 00.12 N	74 34 00.12 E
Boccadasse	Boccadasse è un antico borgo marinaro situato nel levante di Genova.	44 23 23.85 N	8 58 22.71 E
Boettcherstrasse		53 04 30 N	8 48 21 E
Boiro		42 38 13.16 N	8 52 12.31 W
Boke	Boke is a small village in the German district Paderborn; it belongs to the city of Delbrück.	51 43 48 N	8 33 43.56 E
Bolongaropalast	The Bolongaro Palace is a baroque building in Frankfurt-Höchst.	50 06 04 N	8 33 08 E
Borne des Trois Puissances	Dreiländerstein	47 30 10.58 N	7 07 48.76 E
Borovsk	Borovsk, a town established in 1358, stands between Moscow and Kaluga.	55 12 27.19 N	36 29 05.05 E
Bosco delle Querce	The Regional Natural Park Bosco delle Querce (Oaks' Wood), built after the Seveso Disaster on the "A" zone.	45 38 55 N	9 09 10 E
Botanischer Garten Heidelberg		49 25 00 N	8 40 10 E
Brancion	Brancion is a small fortified medieval city in Burgundy, Central France.	46 32 51 N	4 47 48.12 E
Broad Pass	George Parks Highway, Alaska	63 19 22 N	149 10 10 W
Brudermühlbrücke	The Brudermühlbrücke is a bridge in Munich across the Isar.	48 06 45.36 N	11 33 36 E
Brudermühlstraße	The Brudermühlstraße is a street in Munich, part of the Mittlerer Ring around the city centre.	48 06 43.92 N	11 32 58.56 E
Buenos Aires		34 36 13 S	58 22 54 W
Bueu	Bueu is a municipality in Galicia, Spain in the province of Pontevedra.	42 19 24.69 N	8 47 23.1 W
Bürgerhospital (Stuttgart)		48 47 34.6 N	9 10 45.95 E
Burg Stahleck	Stahleck Castle in Bacharach is a 12th century castle occupying a commanding view of the Rhine in the Loreley valley. Nowadays it's a youth hostel.	50 03 29.49 N	7 45 56.46 E
Burj Khalifa	The Burj Khalifa ("Khalifa Tower") is a skyscraper in Dubai, United Arab Emirates.	25 11 49.7 N	55 16 26.8 E
Cabanas		43 24 50.49 N	8 10 04.15 W
Cabo Fisterra		42 52 57 N	9 16 19.92 W
Cabrils		41 31 42 N	2 22 09 E
Cáceres	Cáceres is the capital of Cáceres Province, in Extremadura, Spain.	39 28 23 N	6 22 16 W
Cadaqués		42 17 18.96 N	3 16 40.08 E
Calgary		51 02 42 N	114 03 26 W
Cambados		42 30 52.2 N	8 48 24.89 W
Cambre	Cambre is a municipality in the province A Coruña, Galicia, Spain.	43 17 37.32 N	8 20 34.49 W
Campo de' Fiori		41 53 43.94 N	12 28 20.06 E
Canal du Midi	The Canal du Midi is a 240km long canal in southern France, linking the Garonne River to the Mediterranean Sea, between Toulouse and the Mediterranean port of Sète.	43 36 40 N	1 25 06 E
Candelabro de Paracas	The Paracas Candelabra is a well-known prehistoric geoglyph found on the northern face of the Paracas Peninsula at Pisco Bay in Peru.	13 47 39.67 S	76 18 31.31 W
Cangas		42 15 47.1 N	8 47 09.5 W
Cape Arkona	There are two bunkers at Cape Arkona.	54 40 47 N	13 25 57 E
Cape Horn	Cape Horn is often said to be the southernmost point of South America.	55 58 47 S	67 16 18 W
Capela de São Nicolau		32 41 08 27.15 N	8 36 55.57 W
Cap Glacier	Chugach National Forest, Alaska	60 56 57 N	147 54 57 W
Capriata d'Orba	Capriata d'Orba è un comune in provincia di Alessandria, Piemonte, Italia.	44 43 43.93 N	8 41 25.29 E
Carballeda de Avia	Carballeda de Avia is a municipality in Galicia, in the province of Ourense.	42 19 12.81 N	8 09 53.03 W
Cariño	Cariño is a municipality in the province A Coruña, Galicia, Spain.	43 43 58 N	7 52 39.76 W
Carreira, Ribeira	San Paio de Carreira is a parish of Ribeira, Galicia	42 32 55.84 N	9 00 24.53 W
Cartelle	Cartelle is a municipality in Galicia, in the province of Ourense.	42 15 00.44 N	8 04 17.46 W
Casa Buonarroti (Florence)	Casa Buonarroti è un museo di Firenze	43 46 11.64 N	11 15 49 E
Casa de las Carnicerías, León	The Casa de las Carnicerías (butcher's shops), a monument declared as a Bien de Interés Cultural in 1992, is located at San Martín square, León (Spain).	42 35 48.84 N	5 34 04.4 W
Casa del esquileo, Cabanillas del Monte	The casa del esquileo (shearing shed) is a monument placed at Cabanillas del Monte, Torrecaballeros, Segovia (Spain).	40 58 36 N	4 01 54 W
Casa Milà		41 23 43.08 N	2 09 42.12 E
Castel del Monte	Castel del Monte is a castle in Apulia, in Italy.	41 05 05.28 N	16 16 15.57 E
Castellazzo Bormida	Castellazzo Bormida is a comune (municipality) in the Province of Alessandria in the Italian region Piedmont	44 50 46 N	8 34 42 E
Castello di Duino	Il castello di Duino è un castello situato nel comune di Duino-Aurisina, in provincia di Trieste, Italia.	45 46 18.39 N	13 36 14.3 E
Castello di Miramare	Miramare is a castle near Trieste.	45 42 09 N	13 42 45 E
Castello di San Giusto	The statues Micheze and Jacheze in the entrance hall of Castello di San Giusto	45 38 50 N	13 46 23.62 E
Castello Sforzesco (Milan)	The "Castello Sforzesco" is a castle and a museum in Milan, Italy.	45 28 11.4 N	9 10 46.2 E
Castelo da Rocha Forte		42 51 42.29 N	8 34 29.38 W
Castelo de Castro Marim		37 13 07.43 N	7 26 29.69 W
Castelo de Maceda		42 16 13.92 N	7 39 32.36 W
Castelo de Monforte de Lemos		42 31 26.71 N	7 30 38.86 W
Castelo de Monterreal		42 07 32.16 N	8 51 00 W
Castelo de Pambre		42 51 34.87 N	7 56 53.7 W
Castelo de Ribadavia		42 17 12.3 N	8 08 37.49 W
Castelo de San Felipe	Castillo de San Felipe is a castle in the county of Ferrol, Galicia	43 27 53 N	8 16 54 W
Castelo de Santa Cruz		43 20 54.08 N	8 21 00.64 W
Castelo de Santo Antón		43 21 56.6 N	8 23 16.12 W
Castelo de Sobroso	The Sobroso Castle is a castle located in Vilasobroso- Mondariz, Provincia of Pontevedra, Galicia (Spain).	42 12 17.31 N	8 27 20.51 W
Castelo de Soutomaior		42 19 46.77 N	8 34 05.54 W
Castelo de Vilalba		43 17 52.8 N	7 40 56.42 W
Castelo de Vilamarín		42 27 02.87 N	7 54 02.26 W
Castiñeiras, Ribeira		42 31 57.33 N	8 59 44.67 W
Castrelo de Miño	Castrelo de Miño is a municipality in Galicia, in the province of Ourense.	42 17 49.63 N	8 04 02.63 W
Castrelo do Val	Castrelo do Val is a municipality in Galicia, in the province of Ourense.	41 59 26.73 N	7 25 25.2 W
Castro Caldelas	Castro Caldelas is a municipality in Galicia, in the province of Ourense.	42 22 32.62 N	7 24 54 W
Castro de Baroña		42 41 41.8 N	9 01 55.99 W
Castro de Rei		43 12 32.14 N	7 23 58.38 W
Catacaos		5 16 00 S	80 41 00 W
Cataract Glacier	Chugach National Forest, Alaska	61 01 39 N	148 25 23 W
Catedral de Santiago de Compostela		42 52 51.27 N	8 32 42.17 W
Cathédrale Notre-Dame d'Amiens	The cathedral of Our Lady of Amiens (fr: Cathédrale Notre-Dame d'Amiens), or just Amiens Cathedral, is the tallest complete cathedral in France.	49 53 42 N	2 18 08 E
Cathédrale Notre-Dame de Chartres		48 26 52 N	1 29 16 E
Cathédrale Notre-Dame de Paris		48 51 10.8 N	2 20 59.28 E
Cathédrale Notre-Dame de Reims	Cathedral "Notre-Dame de Reims", located in Reims, France	49 15 13.9 N	4 02 02.5 E
Cathédrale Notre-Dame de Strasbourg		48 34 55 N	7 45 03 E
Cathédrale Notre-Dame du Havre		49 29 13 N	0 06 30 E
Cathédrale Saint-André de Bordeaux		44 50 16 N	0 34 39 W
Cathédrale Saint-Bénigne de Dijon		47 19 17 N	5 02 04 E
Cathédrale Sainte-Cécile d'Albi		43 55 42.57 N	2 08 34.6 E
Cathédrale Saint-Julien du Mans	Interior	48 00 33 N	0 11 56 E
Cathedral of Justo	The Cathedral of Justo is being built by Justo Gallego in Mejorada del Campo (Community of Madrid, Spain).	40 23 38.88 N	3 29 17.99 W
Catoira	Catoira is a municipality in Galicia, Spain in the province of Pontevedra.	42 39 54.98 N	8 43 57.93 W
Cedeira	Cedeira is a municipality in the province A Coruña, Galicia, Spain.	43 39 39.53 N	8 03 10.41 W
Celanova	Celanova is a municipality in Galicia, in the province of Ourense.	42 09 07.02 N	7 57 24.65 W
Cenlle	Cenlle is a municipality in Galicia, in the province of Ourense.	42 20 36.87 N	8 05 16.17 W
Central Park		40 46 55.2 N	73 57 57.6 W
Cesantes, Redondela		42 18 33.05 N	8 36 44.72 W
Champ-de-Mars (Paris)		48 51 22 N	2 17 54 E
Chantada		42 36 27.15 N	7 46 09.2 W
Chapela, Redondela		42 15 53.95 N	8 40 22.71 W
Chapelle de Languidou		47 54 49.13 N	4 21 09.72 W
Chapelle Notre-Dame de Molsheim		48 32 26.16 N	7 29 40.13 E
Chapelle Notre-Dame-du-Chêne de Plobsheim		48 27 35.28 N	7 42 49.32 E
Chapelle Notre-Dame-du-Grasweg de Huttenheim		48 21 31.32 N	7 34 33.85 E
Chapelle Notre-Dame du Schaefertal (Soultzmatt)		47 57 06.84 N	7 12 59.4 E
Chapelle Notre-Dame du Verger	Chapelle Notre-Dame du Verger dans l'anse du Verger à Cancale (Ille-et-Vilaine)	48 41 37 N	1 52 51 W
Chapelle royale Saint-Louis, Dreux		48 44 18 N	1 21 48 E
Chapelle Sainte-Marguerite d'Epfig		48 21 15.84 N	7 28 40.12 E
Chapelle Sainte-Marie de l'Assomption d'Obersteigen		48 38 32.28 N	7 18 22.32 E
Chapelle Saint-Gonéry		48 50 29.4 N	3 13 42.38 W
Chapelle Saint-Sébastien de Dambach-la-Ville		48 19 37.56 N	7 25 11.75 E
Chapelle Saint-Théodore de Vienne		45 31 28.56 N	4 52 24.13 E
Chapelle Saint-Ulrich d'Avolsheim		48 33 43.56 N	7 30 01.51 E
Chapelles du Kochersberg		48 38 42 N	7 31 14.88 E
Château d'Anet		48 51 29 N	1 26 19 E
Château d'Angers		47 28 11.67 N	0 33 33.61 W
Château d'Arlay		46 45 32.4 N	5 32 16.44 E
Château d'Azay-le-Rideau	The Château de Azay-le-Rideau is one of the most famous castles in the French Loire Valley.	47 15 33 N	0 27 58 E
Château de Blois	The Château de Blois is one of the most renowned châteaux of the Loire Valley.	47 35 07.8 N	1 19 51.42 E
Château de Bressieux		45 19 21 N	5 16 45.01 E
Château de Brest		48 22 52.52 N	4 29 40.95 W
