116/122/A-180 Z light pillbox		49 57 30.7 N	14 05 23.85 E
Dorfkirche Dabergotz		52 54 10.44 N	12 43 30.42 E
Dorfkirche Golzow (Barnim)		52 54 41.37 N	13 48 32.69 E
Dorfkirche Hohenfinow		52 48 38.1 N	13 55 29.08 E
Dorfkirche Kirchlotheim		51 10 07.83 N	8 53 46.05 E
Dorfkirche Klein Haßlow	Church in Klein Haßlow, Wittstock municipality, Ostprignitz-Ruppin district, Brandenburg state, Germany	53 10 29.84 N	12 31 28.6 E
Dorfkirche Priort	Church in Priort, Wustermark municipality, Havelland district, Brandenburg state, Germany.	52 30 44.61 N	12 57 49.36 E
Dorfkirche Zechow		53 03 18.01 N	12 54 44.88 E
Dozón		42 34 09.35 N	8 03 08.25 W
Drexel University		39 57 14.68 N	75 11 12.76 W
Duchesse Anne (voilier)		51 02 15.37 N	2 22 20.21 E
Duino-Aurisina		45 45 02.29 N	13 40 29.6 E
Durban		29 53 00 S	31 03 00 E
Dürrenstein (Südtirol)	The Dürrenstein is a mountain in the Dolomites in South Tyrol.	46 40 24 N	12 11 04 E
École centrale de Lille	École Centrale de Lille is a graduate engineering school located in campus Lille I within Université Lille Nord de France.	50 36 21.62 N	3 08 13.63 E
École Jules Ferry de Royan		45 37 38.16 N	1 01 33.66 W
Effnerplatz	The Effnerplatz is a square in the north of Munich in the Borough Bogenhausen.	48 09 09 N	11 36 51.12 E
Église de la Sainte-Trinité (Lauterbourg)		48 58 30.1 N	8 10 40.77 E
Église de l'Assomption simultanée (La Petite-Pierre)		48 51 25.2 N	7 18 55.84 E
Église de Saint-Lothain		46 49 27.84 N	5 38 30.12 E
Église de Saint-Paul de Frontignan	L'Église de Saint-Paul de Frontignan est une église catholique de l'ancien diocèse de Maguelone en Languedoc, France.	43 26 50.47 N	3 45 18.66 E
Église des Augustins (Ribeauvillé)		48 11 43.44 N	7 19 08.87 E
Église des Jésuites (Molsheim)		48 32 25.3 N	7 29 45 E
Église des Saints-Innocents (Blienschwiller)		48 20 25.8 N	7 25 06.17 E
Église Notre-Dame de la Dalbade		43 35 51.36 N	1 26 32.89 E
Église Notre-Dame-de-la-Nativité (Saverne)		48 44 28.32 N	7 21 50.36 E
Église Notre-Dame-de-l'Assomption (Bergheim)		48 12 18 N	7 21 53.28 E
Église Notre-Dame-de-l'Assomption (Bernardswiller)		48 27 10.08 N	7 27 49.57 E
Église Notre-Dame-de-l'Assomption (Monswiller)		48 45 17.61 N	7 22 39.66 E
Église Notre-Dame-de-l'Assomption (Rosenwiller)		48 30 21.96 N	7 26 25.48 E
Église Notre-Dame-de-l'Assomption (Rouffach)		47 57 24 N	7 18 02 E
Église Notre-Dame (Guebwiller)		47 54 20.75 N	7 12 52.56 E
Église protestante (Balbronn)		48 35 05.28 N	7 26 15.97 E
Église protestante (Baldenheim)		48 14 15 N	7 32 14.35 E
Église protestante (Berg)		48 53 52.08 N	7 09 24.01 E
Église protestante (Bischheim)		48 36 55.08 N	7 45 21.89 E
Église protestante du Temple Neuf (Strasbourg)		48 35 00 N	7 44 54 E
Église protestante (Fouday)		48 25 17.76 N	7 11 12.95 E
Église protestante (Harskirchen)		48 56 02.04 N	7 02 20.15 E
Église protestante (Scharrachbergheim)		48 35 35.52 N	7 29 55.9 E
Église protestante (Schiltigheim)		48 36 21.96 N	7 45 05.04 E
Église protestante (Sélestat)		48 15 36.36 N	7 27 11.56 E
Église protestante (Weiterswiller)		48 51 10.44 N	7 24 50.9 E
Église Sainte-Marie-Madeleine de Rennes-le-Château		42 55 41.05 N	2 15 45.69 E
Église Saint-Eustache de Paris		48 51 48 N	2 20 42 E
Église Saint-Gervais-Saint-Protais		48 51 19.8 N	2 21 16.6 E
Église Saint-Laurent (Paris)		48 52 29.45 N	2 21 29.92 E
Église Saint-Louis-en-l'Île	The Saint-Louis-en-l'Île Church (lit. "St. Louis on the Island"), is a Catholic church located on Île Saint-Louis in the IVe arrondissement of Paris	48 51 4.38 N	2 21 27.47 E
Église Saint-Martin de Chambonas		44 25 02.45 N	4 07 43.97 E
Église Saint-Michel d'Ernolsheim-lès-Saverne	Bells	48 47 27.85 N	7 22 47.57 E
Église Saint-Nicolas-du-Chardonnet	St. Nicolas du Chardonnet is a church in the centre of Paris, France located in the 5th arrondissement.	48 50 57 N	2 21 01 E
Église Saint-Pierre de Montmartre	Saint-Pierre de Montmartre is a church in Paris	48 53 12 N	2 20 31 E
Église Saint-Pierre-de-Rhèdes		43 35 16.22 N	3 04 43.64 E
Eglise Saint-Pierre des Cuisines	L'Église Saint-Pierre des Cuisines, située rue de la Boule, à côté de la place Saint-Pierre à Toulouse, est la plus vieille église du sud-ouest de la France. Elle est construite sur une ancienne nécropole gallo-romaine du IVe siècle.	43 36 15.49 N	1 26 08.26 E
Église Saint-Pierre-Saint-Paul de Rueil-Malmaison		48 52 35.4 N	2 10 53.15 E
Église Saints-Pierre-et-Paul (Andlau)		48 23 16.3 N	7 24 54.3 E
Église Saints-Pierre-et-Paul (Eguisheim)		48 02 32.28 N	7 18 21.2 E
Église Saints-Pierre-et-Paul (Hohatzenheim)		48 42 44.64 N	7 36 59.11 E
Église Saints-Pierre-et-Paul (Neuwiller-lès-Saverne)		48 49 25 N	7 24 20 E
Église Saints-Pierre-et-Paul (Obernai)		48 27 47.88 N	7 28 54.48 E
Église Saints-Pierre-et-Paul (Ottmarsheim)		47 47 13.2 N	7 30 25.2 E
Église Saints-Pierre-et-Paul (Rosheim)		48 29 48 N	7 28 14 E
Église Saints-Pierre-et-Paul (Sigolsheim)		48 08 04.2 N	7 18 03.1 E
Église Saints-Pierre-et-Paul (Wissembourg)		49 02 14 N	7 56 30 E
Église Saint-Sulpice		48 51 04 N	2 20 05 E
Église Saint-Vincent-de-Paul (Paris)	Saint-Vincent-de-Paul is a church in Paris near the Gare du Nord	48 52 43.7 N	2 21 06.6 E
Églises St Pierre le Vieux (Strasbourg)	protestant church	48 34 58 N	7 44 24 E
Église St Antoine de Padoue (Saverne)		48 44 29.4 N	7 21 40.82 E
Église St Arbogast (Offenheim)		48 37 53.76 N	7 36 59.54 E
Église St Barthélemy (Sarrewerden)		48 55 22.8 N	7 04 56.93 E
Église St Benoît (Bergholtzzell)		47 55 51.34 N	7 13 54.48 E
Église St Blaise (Valff)		48 25 12.36 N	7 31 06.96 E
Église St Cyriaque (Altorf)		48 31 22.7 N	7 31 50 E
Église Ste Anne (Turckheim)		48 05 15.72 N	7 16 41.12 E
Église Ste Aurélie protestante (Strasbourg)		48 34 53 N	7 44 00 E
Église Ste Colombe (Hattstatt)		48 00 44.28 N	7 18 06.01 E
Église Ste Croix (Kaysersberg)	Lamentation of Christ	48 08 20.04 N	7 15 48.56 E
Église Ste Croix (Rountzenheim)		48 49 08.76 N	8 00 26.39 E
Église Ste Foy (Sélestat)		48 15 33.67 N	7 27 21.81 E
Église Ste Lucie (Niederhergheim)		47 59 10.32 N	7 23 48.41 E
Église Ste Madeleine (Strasbourg)		48 34 48 N	7 45 17 E
Église Ste Marguerite (Geispolsheim)		48 30 50.4 N	7 38 36.06 E
Église Ste Odile (Lapoutroie)		48 09 08.64 N	7 10 03.97 E
Église Ste Odile (Wintzfelden)		47 58 32.88 N	7 11 49.92 E
Église St Étienne (Rosheim)		48 29 43.8 N	7 27 59.72 E
Église St Étienne (Seltz)		48 53 37.32 N	8 06 28.44 E
Église St Étienne simultanée (Wangen)		48 37 01.56 N	7 27 53.68 E
Église Ste Walburge (Walbourg)		48 53 05.51 N	7 47 21.97 E
Église St Gall (Niedermorschwihr)		48 05 57.84 N	7 16 26.47 E
Église St Gall protestante (Domfessel)		48 57 06.48 N	7 09 07.56 E
Église St Georges (Châtenois)		48 16 09.12 N	7 23 51 E
Église St Georges (Sélestat)		48 15 36 N	7 27 24.12 E
Église St Grégoire (Ribeauvillé)		48 11 49.2 N	7 19 00.41 E
Église St Guillaume protestante (Strasbourg)		48 34 55.5 N	7 45 28 E
Église St Hippolyte (Saint-Hippolyte)		48 14 01.68 N	7 22 04.01 E
Église St Jacques-le-Majeur (Kuttolsheim)		48 38 37.32 N	7 31 41.34 E
Église St Jacques-le-Majeur simultanée (Dettwiller)		48 45 12.6 N	7 27 56.77 E
Église St Jacques-le-Majeur simultanée (Hunawihr)		48 10 42.24 N	7 18 38.02 E
Église St Jean-Baptiste (Saint-Jean-Saverne)		48 46 18.7 N	7 21 48.5 E
Église St Jean-Baptiste simultanée (Hohwiller)		48 45 12.78 N	7 27 56.77 E
Église St Jean-Baptiste (Surbourg)		48 54 34.2 N	7 50 50.28 E
Église St Jean-Baptiste (Wattwiller)		47 50 07.72 N	7 10 37.27 E
Église St Jean protestante (Wissembourg)		49 02 18.96 N	7 56 33.36 E
Église St Jean (Strasbourg)		48 35 04 N	7 44 25 E
Église St Laurent (Dieffenbach-au-Val)		48 18 44.64 N	7 19 41.34 E
Église St Laurent protestante (Dorlisheim)		48 31 30 N	7 29 13.99 E
Église St Léger (Guebwiller)		47 54 42.1 N	7 12 33.75 E
Église St Léger (Murbach)		47 55 24 N	7 09 29 E
Église St Martin (Ammerschwihr)		48 07 37.92 N	7 16 54.01 E
Église St Martin (Ebersheim)		48 18 14.04 N	7 30 14.08 E
Église St Martin (Pfaffenheim)		47 59 05.28 N	7 17 08.59 E
Église St Martin protestante (Barr)		48 24 33.84 N	7 26 51.47 E
Église St Martin protestante (Westhoffen)		48 36 01.8 N	7 26 30.3 E
Église St Maurice (Ebersmunster)		48 18 39.5 N	7 31 37 E
Église St Maurice (Fegersheim)		48 29 23.64 N	7 40 50.27 E
Église St Maurice (Orschwiller)		48 14 27.24 N	7 22 44.62 E
Église St Maurice (Soultz-Haut-Rhin)		47 53 13.2 N	7 13 48.29 E
Église St Maurice (Soultz-les-Bains)		48 34 17.4 N	7 29 09.35 E
Église St Maurice (Willgottheim)		48 40 14.52 N	7 30 33.23 E
Église St Médard (Bœrsch)		48 28 40.44 N	7 26 24.4 E
Église St Michel (Reichshoffen)		48 55 54.84 N	7 39 52.02 E
Église St Michel (Weyersheim)		48 43 06.24 N	7 48 07.96 E
Église St Nicolas (Haguenau)		48 49 13 N	7 47 32 E
Église St Nicolas (Neuve-Église)		48 19 50.88 N	7 18 48.24 E
Église St Nicolas (Wingersheim)		48 43 18.84 N	7 38 08.02 E
Église St Pantaléon (Gueberschwihr)		48 00 16.92 N	7 16 29.78 E
Église St Paul protestante (Strasbourg)		48 35 11 N	7 45 35 E
Église St Pierre "Dompeter" (Molsheim, Avolsheim)		48 33 24.12 N	7 30 19.59 E
Église St Pierre le Jeune catholique (Strasbourg)		48 35 18.35 N	7 44 55.75 E
Église St Pierre le Jeune protestante (Strasbourg)		48 35 08 N	7 44 47 E
Église St Rémi (Itterswiller)		48 21 51.48 N	7 25 37.42 E
Église St Sébastien (Soultzmatt)		47 57 37.08 N	7 14 15.36 E
Église St Thomas protestante (Strasbourg)		48 34 47 N	7 44 44 E
Église St Trophime (Eschau)		48 29 25.08 N	7 42 57.96 E
Église St Ulrich (Altenstadt)		49 01 49.8 N	7 58 05.88 E
Église St Ulrich (Wittersheim)		48 46 53.04 N	7 39 27.47 E
Eklutna Village Cemetery	Anchorage, Alaska	61 27 38 N	149 21 42 W
El Vendrell		41 13 11.72 N	1 32 04.08 E
Empúries	Empúries is a town on the Mediterranean coast of the Catalan comarca of Alt Empordà in Catalonia, Spain.	42 08 20.29 N	3 07 11.19 E
Enclos paroissial de Saint-Thégonnec		48 31 13.4 N	3 56 47.44 W
Erica, Victoria		37 59 00 S	146 22 00 E
Erlöserkirche (Bad Homburg)	The Church of the Redeemer is a protestant church in Bad Homburg, Germany.	50 13 35.5 N	8 36 42 E
Esgos		42 19 29.71 N	7 41 45.94 W
Esther Passage	Chugach National Forest, Alaska	60 53 20 N	147 56 27 W
European Parliament	The European Parliament is the parliament of the European Union.	48 35 51.82 N	7 46 09.82 E
Explorer Glacier	Chugach National Forest, Alaska	60 46 34 N	148 55 03 W
Familistère		49 54 15 N	3 37 31 E
Fangelsbachfriedhof	The Fangelsbachfriedhof is one of the most important historical cemeteries in Stuttgart.	48 45 56 N	9 10 28 E
Feldkommandostelle Hegewald (East Prussia)		54 08 05.54 N	21 58 36.02 E
Fene	Fene is a municipality in the province A Coruña, Galicia, Spain.	43 27 40.11 N	8 11 28.2 W
Ferrol		43 29 21.47 N	8 13 29.94 W
Ferrytoll Park & Ride	Ferrytoll Park & Ride is a bus/car interchange in Fife, Scotland, at the northern end of the Forth road crossing.	56 01 21.47 N	3 24 22.97 W
Fieschergletscher		46 30 07.88 N	8 08 30.59 E
Fiesole (area archeologica)		43 48 29.04 N	11 17 39.19 E
Filialkirche hl. Gotthart in Lansach, Weißenstein		46 41 12.84 N	13 42 16.56 E
Fish Creek, Victoria		38 41 00 S	146 05 00 E
Flaucher	Flaucher is an area in the south of Munich on the left and right hand side of the Isar (district: Sendling and Thalkirchen).	48 06 27 N	11 33 27 E
Fontaine des Neuf-Canons		43 31 36.12 N	5 26 55.25 E
Fontaine du Palmier		48 51 26.99 N	2 20 50.17 E
Forêt domaniale de Sète	The National Forest of Sète in the commune of Sète, Hérault, France.	43 24 18.74 N	3 40 13.74 E
Forge d'Étueffont		47 43 20.9 N	6 55 15.19 E
Fortaleza da Nogueirosa		43 23 29.12 N	8 08 09.12 W
Fortaleza de San Paio de Narla		43 00 25.83 N	7 49 14 W
Fort Boyard	Fort Boyard is a fort located between the île d'Aix and the île d'Oléron in the Pertuis d'Antioche straits, on the west coast of France.	45 59 58.71 N	1 12 50.16 W
Fort de Bessoncourt		47 38 58.41 N	6 55 37.74 E
Fort de la Miotte		47 38 53.29 N	6 52 30.33 E
Fort des Basses Perches		47 37 34.05 N	6 52 06.81 E
Fort de Vézelois		47 36 01.67 N	6 54 29.41 E
Fort du Bois d'Oye		47 34 27.7 N	6 50 36.55 E
Forte di Gavi	Il Forte di Gavi è una fortezza storica costruita su un preesistente castello di origine medioevale.	44 41 27.95 N	8 48 15.55 E
Fortezza del Priamar	La fortezza del Priamar è un antico insediamento storico presente nella città ligure di Savona, Italia.	44 18 16.29 N	8 29 03.44 E
Fort Ross	Fort Ross, a former Russian fur trade outpost, located on the coast of Northern California.	38 30 51.35 N	123 14 36.88 W
Fosse De Sessevalle		50 22 11.03 N	3 15 41.09 E
Four solaire d'Odeillo	The "Centre du Four Solaire Félix Trombe" is located in Odeillo, France.	42 29 37 N	2 01 45 E
Fox Island (Alaska)	Kenai Peninsula, Alaska	59 54 46 N	149 20 52 W
Francelos, Ribadavia		42 16 35.51 N	8 09 34.88 W
Franciscan Monastery in Katowice Panewniki	Neo-Romanesque monastery of the Franciscans in Katowice Panewniki in Poland from the early XX century.	50 13 37 N	18 57 45 E
Fubine	Fubine è un comune in provincia di Alessandria, Piemonte, Italia.	44 57 55.35 N	8 25 32.75 E
Funkturm Leipzig		51 18 49.02 N	12 23 34.93 E
Fuzhou		26 04 16 N	119 18 13 E
Galata Bridge	Galata Bridge crosses the Golden Horn in Istanbul, Turkey	41 01 13.1 N	28 58 24.4 E
Gandino		45 48 42 N	9 54 11 E
Gardens of Nymphenburg Palace	Der Nymphenburger Schlosspark ist eines der größten und bedeutendsten Gartenkunstwerke Deutschlands.	48 09 28 N	11 29 34 E
Gare de Metz-Ville		49 06 35.28 N	6 10 39 E
Gare de Paris-Est		48 52 36.84 N	2 21 33.12 E
Gare de Paris-Nord		48 52 58 N	2 21 24 E
Gare de Paris-Saint-Lazare	Gare Paris Saint-Lazare is one of the six large terminus railway stations of Paris.	48 52 37 N	2 19 28 E
Garmischer Straße	The Garmischer Straße is a street in Munich, part of the Mittlerer Ring around the city centre.	48 07 28.2 N	11 31 14.52 E
Garten des Himmlischen Friedens	The Garten des Himmlischen Friedens (lit. Garden of Heavenly Peace) is a small walled Chinese garden in the Bethmannpark in Frankfurt-Nordend	50 07 07.57 N	8 41 26.52 E
Gavi	Gavi is a town in Piemonte in Italy.	44 41 19.35 N	8 48 10.64 E
Gedankengang Offenbach	This is part of a series of tunnels in Offenbach that have been redesigned.	50 05 58.64 N	8 45 49.92 E
Gernikako Arbola	The Gernika oak where the lords of Biscay (including several kings of Castile and Spain) came to take the oath of respect to the basques Fueros (Rules and Rights).	43 18 53.43 N	2 40 47.92 W
Giardino dei Semplici di Firenze	The Orto Botanico di Firenze (2.3 hectares), also known as the Giardino dei Semplici, is a botanical garden maintained by the University of Florence.	43 46 45 N	11 15 39 E
Giurtelecu Șimleului	Giurtelecu Șimleului is a settlement in Romania.	47 18 N	22 48 E
Glanum		43 46 26 N	4 49 57 E
Godwin Glacier	Chugach National Forest, Alaska	60 07 45 N	149 12 52 W
Goethedenkmal (Wien)	The Goethe monument at the Opernring in Vienna by Edmund Hellmer	48 12 12.07 N	16 21 57.73 E
Gogar Tram Depot		55 56 22.27 N	3 19 36.44 W
Göltzschtalbrücke		50 37 21.29 N	12 14 37.46 E
Goose Lake Park, Anchorage, Alaska		61 11 49 N	149 49 13 W
Gorle		45 42 14 N	9 43 08 E
Görzig (Rietz-Neuendorf)	Train station	52 14 20.25 N	14 11 48.91 E
Government House, Jersey		49 11 41.44 N	2 05 39.78 W
Gradara	Gradara is a town in Marche, Italy.	43 56 15.75 N	12 45 59.25 E
Gråmanstorps kyrka		56 08 59.33 N	13 06 00.4 E
Grand Hôtel de Cabourg		49 17 37.32 N	0 06 59.08 W
Grand Palais	The Grand Palais in Paris, France	48 51 58 N	2 18 45 E
Gromo	Gromo is a town in Lombardia in Italy.	45 57 51.84 N	9 55 39 E
Grouse Lake	Kenai Peninsula, Alaska	60 12 05 N	149 22 29 W
Gulkana Glacier	Eastern Alaska Range, Alaska	63 14 26 N	145 28 03 W
Gut Böckel	Böckel Castle in Rödinghausen, District of Herford, North Rhine-Westphalia, Germany.	52 13 29.1 N	8 31 02.98 E
Gymnasium Koblenzer Straße	The Gymnasium Koblenzer Straße, also known as Kobi, is a German grammar school in Urdenbach, an urban borough of Düsseldorf.	51 08 58.67 N	6 53 08.95 E
Haage	Train station	52 40 37.61 N	12 35 48.46 E
Hamburger Rathaus		53 33 01 N	9 59 32 E
Hamburg	Hamburg is a City-State in the North of Germany and one of the biggest seaports in Europe.	53 34 07 N	10 02 19 E
Hamburg-Moorburg Sprengung Kraftwerk	Bursting of the 256 meters high chimney of the deactivated HEW power plant in Hamburg-Moorburg, Germany. The chimney was Hamburg's highest massiv building. The HEW power plant Hamburg-Moorburg was in operation from 1974 untill 2001. It was one of the biggest conventional power plant in Germany and was fired on both with natural gas and fuel oil.	53 29 24 N	9 57 06 E
Hameau de la Reine		48 49 07 N	2 06 46 E
Hammer (Liebenwalde)	Former town hall	52 52 54.39 N	13 26 32.69 E
Hansestaden Visby	The Hanseatic town Visby is the description of Visby, Sweden, from the UNESCO World Heritage Committee.	57 38 20 N	18 17 40 E
Hans Paasche	Hans Paasche (3 April 1881 – 21 May 1920) was a German politician and pacifist.	52 59 48.32 N	15 58 47.1 E
Harriman Fjord	Chugach National Forest, Alaska	61 02 20 N	148 19 17 W
Haus Werburg	Haus Werburg is a small water castle in Spenge, Kreis Herford.	52 08 30.78 N	8 28 33.66 E
Hazmburk	Hazmburk is a hill with castle in České středohoří in Czech Republic.	50 26 03 N	14 00 52 E
Heckenstallerstraße	The Heckenstallerstraße is a street in Munich, part of the Mittlerer Ring around the city centre.	48 06 35.64 N	11 31 41.88 E
Hellig Kors Kirke	Hellig Kors Kirke is a church on Nørrebro in Copenhagen, Denmark.	55 41 15.72 N	12 33 05.04 E
Henninger-Turm	The 120-m-high Henninger Turm is located in Frankfurt-Sachsenhausen in Germany.	50 05 50.16 N	8 41 36.77 E
Herford	Herford is a city in North Rhine-Westphalia, Germany.	52 06 57.81 N	8 40 12.11 E
HMS Otus	The HMS Otus is a british Oberon class submarine. It serves today as a museum Sassnitz harbour.	54 30 43.13 N	13 38 29.79 E
Holgate Arm	Kenai Fjords National Park, Alaska	59 49 56 N	149 47 56 W
Holy Trinity Cathedral in Odessa	Holy Trinity Cathedral in Odessa	46 28 33.96 N	30 44 17.16 E
Hope Highway, Alaska	Kenai Peninsula, Alaska	60 46 50 N	149 25 50 W
Hoppenlaufriedhof	The Hoppenlaufriedhof is a cemetery in Stuttgart.	48 46 54 N	9 10 05 E
Horyuji	Hōryū-ji (法隆寺, "Temple of the Flourishing Law") is a Buddhist temple in Ikaruga, Nara Prefecture, Japan.	34 36 53.06 N	135 44 03.02 E
Hospitalkirche (Stuttgart)		48 46 40 N	9 10 22 E
Hôtel Biron		48 51 19 N	2 18 57 E
Hôtel de Bourgtheroulde		49 26 31.2 N	1 05 17.77 E
Hôtel de Sens		48 51 12 N	2 21 33 E
Hôtel de Soubise		48 51 38 N	2 21 30 E
Hôtel d'Ulmo		43 35 51 N	1 26 59.28 E
Hôtel Lutetia		48 51 04 N	2 19 39 E
Hôtel Négresco		43 41 40 N	7 15 27 E
Hübners Mühle in Werder (Havel)	The fire ruin of the windmill of miller and baker named Hübner in Werder (Havel)	52 22 28.38 N	12 55 15.28 E
Humprecht	Humprecht is a castle on top of a hill near Sobotka in the Hradec Králové region in the Czech Republic.	50 28 13.08 N	15 10 10.92 E
Igreja de São Martinho de Aldoar		41 10 14.59 N	8 40 13.84 W
Igrexa de San Pedro de Vilanova de Dozón	The romanic parochial Church of San Pedro of Dozón	42 35 06.77 N	8 01 27.02 W
Igrexa de Santa María de Cambre		43 17 31.92 N	8 20 34.08 W
Igrexa de Santo Antolín de Toques		42 58 41.36 N	7 58 59.23 W
Illa de Cortegada		42 37 05.87 N	8 47 02.7 W
Iloilo City	The City of Iloilo is the capital city of the Provinces of the Philippines of Iloilo.	10 41 24 N	122 33 00 E
Innerer Plauenscher Friedhof	Cemetery „Innerer Plauenscher Friedhof“ near church „Auferstehungskirche“ in Dresden-Plauen	51 01 42.38 N	13 42 15.91 E
Institut de théologie orthodoxe Saint-Serge		48 52 59.98 N	2 23 01.23 E
Isabel Pass	Richardson Highway, Alaska	63 11 15 N	145 33 28 W
Isarring	The Isarring is a street in Munich, part of the Mittlerer Ring around the city centre.	48 09 36.72 N	11 36 03.96 E
Isla San Carlos	Isla San Carlos or peninsula of San Carlos, is part of Venezuela and is located north of the island of Toas.	10 59 42.73 N	71 36 43.16 W
Ivrea	Ivrea is a town in Piemonte in Italy.	45 27 50.4 N	7 52 42.96 E
Jagdschloss Wermsdorf		51 16 59.52 N	12 56 21.85 E
Jardin de l'État	The Jardin de l'État is a botanical garden on Réunion island.	20 53 12 S	55 27 04 E
Jardin des Tuileries		48 51 50 N	2 19 34 E
Jaroměř	Pond	50 21 21.6 N	15 55 15.6 E
Jesuitenkirche (Wien)	The Jesuitenkirche (Jesuit church) is a prominent church in Vienna, Austria.	48 12 32.95 N	16 22 39.48 E
Jin Mao Tower	Jin Mao Building	31 14 14 N	121 30 05 E
Johannesburg	Johannesburg is the largest city in South Africa.	26 12 16 S	28 02 44 E
José María Acuña López	José María Acuña López, born in Pontevedra (Spain) on April 4, 1903 and died on 4 June 1991 in Vigo (Spain), was a spanish sculptor.	42 19 46.38 N	8 34 04.43 W
Jubiläumssäule		48 46 42.85 N	9 10 47.53 E
Jüdischer Friedhof Haunetal		50 45 12.6 N	9 41 00.6 E
Jumkils kyrka	Jumkils kyrka tillhör Bälingebygdens församling, Upplands västra kontrakt, Uppsala stift / Diocese of Uppsala.	59 56 33.2 N	17 25 23.7 E
Kaaba		21 25 21.11 N	39 49 34.41 E
Kagawa prefecture	Kagawa Prefecture (香川県, Kagawa-ken?) is a prefecture of Japan located on Shikoku island. The capital is Takamatsu.	34 20 24.4 N	134 02 35.8 E
Kansai International Airport	Kansai International Airport is an international airport located on an artificial island in the middle of Osaka Bay, off the shore of Sennan district of Osaka, Japan.	34 26 03 N	135 13 58 E
Karlsfried	Karlsfried Castle is situated nearby the town of Zittau in Sachsen, Germany.	50 50 05.05 N	14 47 32.29 E
Katharinenhospital Stuttgart		48 48 01.87 N	9 12 21.6 E
Kathmandu		27 43 12 N	85 22 12 E
Kiel	Kiel is the capital city and most populous city of the northern German state Schleswig-Holstein.	54 19 31 N	10 08 26 E
Kleinmarkthalle Frankfurt	Vegetable stall	50 06 45 N	8 41 01 E
Klimkówka - stary dwór		49 35 18.78 N	21 49 50.14 E
Kloster Ettal	The monastery of Ettal is a Benedictine monastery in Bavaria/Germany near Oberammergau.	47 34 09.33 N	11 05 40.42 E
Korsberga kyrka, Småland		57 18 25.2 N	15 07 25.6 E
Kotohira Gu	Kotohira Gu in Kotohira, Kagawa prefecture, Japan.	34 11 02.2 N	133 48 34 E
Kreis Herford		52 06 57.54 N	8 39 40.42 E
Kreis Minden-Lübbecke	Der Kreis Minden-Lübbecke ist ein Landkreis im Osten des Landes Nordrhein-Westfalen mit Sitz in Minden.	52 16 53.48 N	8 54 41.71 E
Kreuz im Heldenhain, Geschwister-Scholl-Weg, Ruhland		51 27 30.61 N	13 52 01.48 E
Kriegerdenkmal in Arnsdorf (Ruhland)		51 25 48.02 N	13 51 05.5 E
Kronprinzenpalais (Stuttgart)		48 46 41.56 N	9 10 39.88 E
Krumbach (Schwaben)	Krumbach (Schwaben) ist eine Stadt im Landkreis Günzburg, Regierungsbezirk Schwaben, Bayern.	48 14 35 N	10 21 48 E
Krummesse	Krummesse is a village in Schleswig-Holstein, Germany, which partly belongs to Kreis Herzogtum Lauenburg and partly to Lübeck.	53 46 45 N	10 38 30 E
Kuala Lumpur		3 08 52.08 N	101 41 43.08 E
Kunsthalle Bremen		53 04 22 N	8 48 49 E
Kuressaare		58 09 00 N	22 16 48 E
Kusterdingen		48 31 20.28 N	9 07 15.24 E
Lac Blanc (Orbey)	Dans le massif des Vosges, près d'Orbey.	48 07 31.32 N	7 05 34.95 E
Lac de Serre-Ponçon	Le Lac de Serre-Ponçon, vallé de l'Ubaye, Hautes-Alpes, France	44 30 33.26 N	6 22 10.8 E
Lake Louise, Alaska	Borough di Matanuska-Susitna, Alaska	62 19 26 N	146 32 56 W
Lalín	Lalín is a municipality in Galicia, Spain in the province of Pontevedra.	42 39 36.8 N	8 06 43.31 W
Langes Tannen		53 41 32.67 N	9 40 28.6 E
Large Hadron Collider		46 16 17 N	6 03 48.5 E
Larouco	Larouco is a municipality in Galicia, in the province of Ourense.	42 20 48.74 N	7 09 37.22 W
Lavoir de Gex		46 20 02.04 N	6 03 30.02 E
Laza	Laza is a municipality in Galicia, in the province of Ourense.	42 03 36.68 N	7 27 37.14 W
Learnard Glacier	Chugach National Forest, Alaska	60 48 44 N	148 42 55 W
Leiro	Leiro is a municipality in Galicia, in the province of Ourense.	42 22 11.51 N	8 07 27.42 W
Le Louxor		48 52 00 N	2 20 59 E
Le Sauze-du-Lac	Le Sauze-du-Lac est un petit village de les Hautes-Alpes, prés du lac de Serre-Ponçon.	44 28 42.94 N	6 18 52.35 E
Les Invalides		48 51 18 N	2 18 45 E
Le Train Bleu		48 50 42 N	2 22 24 E
Levanto	Levanto is a village in Liguria in Italy.	44 10 15.82 N	9 36 41.68 E
Lighthouses at Cape Arkona	There are two lighthouses and one bearing tower at Cape Arkona.	54 40 47 N	13 25 57 E
Lima	Lima	12 03 00 S	77 02 00 W
Loro Parque		28 24 29.88 N	16 33 52.74 W
Loschwitzer Friedhof	Cemetery „Loschwitzer Friedhof“ in Dresden-Loschwitz	51 02 46 N	13 49 18.98 E
Lowell Point, Alaska	Kenai Peninsula, Alaska	60 04 18 N	149 26 37 W
Luise-Kiesselbach-Platz	The Luise-Kiesselbach-Platz is a square in the southwest of Munich.	48 06 44.17 N	11 31 03.27 E
Lunds domkyrka	Lunds domkyrka or Lund Cathedral is the cathedral of Lund in Skåne in southern Sweden.	55 42 14.59 N	13 11 36.91 E
